"Date","state","Series"
98,"PA",14.3
98,"RI",17
98,"SC",13.1
98,"SD",19
98,"TN",11.6
98,"TX",11.2
98,"UT",10
98,"VA",14.7
98,"VT",15.8
98,"WA",15
98,"WI",16
98,"WV",16.3
98,"WY",16
105,"AK",22.3
105,"AL",13.4
105,"AR",13.9
105,"AZ",17.1
105,"CA",16.1
105,"CO",17.5
105,"CT",20.4
105,"DE",16.4
105,"FL",15.8
105,"GA",12.3
105,"HI",19
105,"IA",19.3
105,"ID",16.5
105,"IL",16.5
105,"IN",16.7
105,"KS",16.9
105,"KY",17.4
105,"LA",16.3
105,"MA",19
105,"MD",17.2
105,"ME",19.7
105,"MI",17
105,"MN",18.8
105,"MO",15.1
105,"MS",15.2
105,"MT",19.2
105,"NC",16.4
105,"ND",20.3
105,"NE",18.7
105,"NH",17.6
105,"NJ",18.7
105,"NM",23.5
105,"NV",16
105,"NY",16.9
105,"OH",16.9
105,"OK",17.8
105,"OR",16.7
105,"PA",16.6
105,"RI",20.9
105,"SC",15
105,"SD",22.4
105,"TN",13.8
105,"TX",13.7
105,"UT",11.4
105,"VA",17.1
105,"VT",18.9
105,"WA",17.9
105,"WI",18.5
105,"WV",18.8
105,"WY",18.2
112,"AK",24.9
112,"AL",15.2
112,"AR",16.7
112,"AZ",19.5
112,"CA",18.8
112,"CO",20.1
112,"CT",24.2
112,"DE",18.9
112,"FL",18.5
112,"GA",14.1
112,"HI",22
112,"IA",22
112,"ID",18.8
112,"IL",18.9
112,"IN",18.9
112,"KS",19.8
112,"KY",20.7
112,"LA",18.7
112,"MA",22.3
112,"MD",20.8
112,"ME",24.3
112,"MI",19.9
112,"MN",22.3
112,"MO",17.9
112,"MS",17.3
112,"MT",22.1
112,"NC",18.6
112,"ND",23.5
112,"NE",21.6
112,"NH",20.8
112,"NJ",22.6
112,"NM",26.4
112,"NV",18.5
112,"NY",22.1
112,"OH",19.5
112,"OK",21.1
112,"OR",19.6
112,"PA",19.2
112,"RI",25.3
112,"SC",17.2
112,"SD",25.3
112,"TN",16
112,"TX",16.9
112,"UT",14.2
112,"VA",20.3
112,"VT",22.9
112,"WA",21.2
112,"WI",21.6
112,"WV",21.6
112,"WY",20.7
119,"AK",30.8
119,"AL",17.7
119,"AR",19.6
119,"AZ",22.6
119,"CA",22
119,"CO",23.6
119,"CT",29.2
119,"DE",22.8
119,"FL",21.9
119,"GA",16.8
119,"HI",26.3
119,"IA",26
119,"ID",21.2
119,"IL",22.7
119,"IN",21.1
119,"KS",23.7
119,"KY",24.9
119,"LA",21.3
119,"MA",26.8
119,"MD",25.4
119,"ME",30.1
119,"MI",23.7
119,"MN",26.5
119,"MO",21.1
119,"MS",19.8
119,"MT",25.2
119,"NC",22.5
119,"ND",27.4
119,"NE",25.7
119,"NH",25.9
119,"NJ",27.5
119,"NM",30.2
119,"NV",22
119,"NY",26.4
119,"OH",23.7
119,"OK",24.2
119,"OR",23
119,"PA",23.8
119,"RI",29.8
119,"SC",21.1
119,"SD",28.9
119,"TN",18.5
119,"TX",20.7
119,"UT",17.6
119,"VA",23.9
119,"VT",28.4
119,"WA",24.9
119,"WI",26.3
119,"WV",24.6
119,"WY",23.4
126,"AK",32.8
126,"AL",20.1
126,"AR",22.2
126,"AZ",25.4
126,"CA",26.1
126,"CO",27.1
126,"CT",33
126,"DE",26.9
126,"FL",24.9
126,"GA",20.2
126,"HI",31.5
126,"IA",29.2
126,"ID",23.8
126,"IL",26.2
126,"IN",23.4
126,"KS",27.3
126,"KY",28.3
126,"LA",24.1
126,"MA",30.7
126,"MD",29.2
126,"ME",33.9
126,"MI",27.1
126,"MN",29.7
126,"MO",23.8
126,"MS",21.7
126,"MT",28.4
126,"NC",25.5
126,"ND",30.1
126,"NE",28.6
126,"NH",29
126,"NJ",31.1
126,"NM",33.1
126,"NV",24.8
126,"NY",29.8
126,"OH",27.5
126,"OK",26.9
126,"OR",25.9
126,"PA",27.4
126,"RI",32.6
126,"SC",24.1
126,"SD",31.8
126,"TN",21.1
126,"TX",23.2
126,"UT",20.3
126,"VA",27.7
126,"VT",32.8
126,"WA",28
126,"WI",30
126,"WV",27.2
126,"WY",25
133,"AK",34.3
133,"AL",22.4
133,"AR",24.6
133,"AZ",28.2
133,"CA",29.4
133,"CO",31.1
133,"CT",37.2
133,"DE",31.2
133,"FL",28.1
133,"GA",23.3
133,"HI",34.6
133,"IA",32.5
133,"ID",26.3
133,"IL",29.4
133,"IN",25.8
133,"KS",30.5
133,"KY",31
133,"LA",26.3
133,"MA",35.1
133,"MD",32.9
133,"ME",38
133,"MI",30.8
133,"MN",33.1
133,"MO",26.6
133,"MS",23.2
